Date : 2026-02-11 16:08:11
Directory : c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src
Total : 201 files,  29467 codes, 1559 comments, 3388 blanks, all 34414 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\settings\useSettingsConfig.ts             | TypeScript     |        123 |          9 |         19 |        151 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\settings\useTagManager.ts                 | TypeScript     |        154 |          3 |         22 |        179 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useCollectionMutations.ts                 | TypeScript     |        117 |          7 |         21 |        145 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useCollectionsQuery.ts                    | TypeScript     |         33 |          2 |          7 |         42 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useDialog.ts                              | TypeScript     |         18 |          0 |          4 |         22 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useFilteredModels.ts                      | TypeScript     |        208 |         31 |         34 |        273 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useGlobalDialogs.ts                       | TypeScript     |        152 |         13 |         29 |        194 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useModelActions.ts                        | TypeScript     |        150 |          7 |         22 |        179 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useModelData.ts                           | TypeScript     |         45 |          1 |          8 |         54 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useModelMutations.ts                      | TypeScript     |         16 |          7 |          4 |         27 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useModelMutations_DB.ts                   | TypeScript     |        125 |         12 |         23 |        160 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useModelMutations_Legacy.ts               | TypeScript     |        108 |          9 |         12 |        129 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useModelsQuery.ts                         | TypeScript     |         51 |          6 |         10 |         67 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useSelectionMode.ts                       | TypeScript     |         81 |          0 |         12 |         93 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\hooks\useTagsQuery.ts                           | TypeScript     |         29 |          1 |          5 |         35 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\main.tsx                                        | TypeScript JSX |         12 |          1 |          2 |         15 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\styles\globals.css                              | CSS            |        187 |          0 |         18 |        205 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\tests\download.test.tsx                         | TypeScript JSX |         79 |          7 |         17 |        103 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\tests\utils.test.ts                             | TypeScript     |         18 |          0 |          3 |         21 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\category.ts                               | TypeScript     |          5 |          0 |          0 |          5 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\collection.ts                             | TypeScript     |         28 |          4 |          5 |         37 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\collection_db.ts                          | TypeScript     |         56 |          1 |          8 |         65 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\config.ts                                 | TypeScript     |         66 |          2 |          4 |         72 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\index_db.ts                               | TypeScript     |          7 |          0 |          3 |         10 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\model.ts                                  | TypeScript     |         90 |         17 |          6 |        113 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\model_db.ts                               | TypeScript     |        133 |          8 |         17 |        158 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\three-elements.d.ts                       | TypeScript     |         19 |          2 |          1 |         22 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\types\view.ts                                   | TypeScript     |          1 |          0 |          1 |          2 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\ProjectService.ts                         | TypeScript     |        241 |         37 |         48 |        326 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\clientUtils.ts                            | TypeScript     |         89 |          2 |         17 |        108 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\configManager.ts                          | TypeScript     |        336 |         17 |         39 |        392 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\dbAdapter.ts                              | TypeScript     |        126 |         15 |         22 |        163 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\downloadUtils.ts                          | TypeScript     |        144 |         13 |         21 |        178 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\fileManager.ts                            | TypeScript     |        205 |         17 |         25 |        247 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\filterUtils.ts                            | TypeScript     |         76 |         14 |         18 |        108 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\galleryUtils.ts                           | TypeScript     |         62 |          3 |         14 |         79 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\gcodeParser.ts                            | TypeScript     |        213 |          8 |         31 |        252 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\imageUtils.ts                             | TypeScript     |         65 |         13 |         12 |         90 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\labels.ts                                 | TypeScript     |         29 |          2 |          4 |         35 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\modelFactory.ts                           | TypeScript     |         49 |          0 |          2 |         51 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\munchiePath.ts                            | TypeScript     |         34 |          0 |          7 |         41 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\rendererPool.ts                           | TypeScript     |          3 |          2 |          1 |          6 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\rendererPool.tsx                          | TypeScript JSX |        125 |          5 |         11 |        141 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\sortUtils.ts                              | TypeScript     |         53 |          1 |          5 |         59 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\themeUtils.ts                             | TypeScript     |        113 |         12 |         19 |        144 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\thingiverseImporter.ts                    | TypeScript     |        101 |         15 |         24 |        140 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\threeJSManager.ts                         | TypeScript     |         83 |         11 |         15 |        109 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\threeMFToJson.ts                          | TypeScript     |        341 |         48 |         66 |        455 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\thumbnailGenerator.ts                     | TypeScript     |         55 |         23 |         21 |         99 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\thumbnailUtils.ts                         | TypeScript     |         39 |          6 |          7 |         52 |
| c:\Users\Michael\VSCodeProjects\3d-model-muncher\3d-model-muncher\src\utils\useSafeThreeMFLoader.ts                   | TypeScript     |         70 |          8 |         14 |         92 |
| Total                                                                                                                 |                |     29,467 |      1,559 |      3,388 |     34,414 |
+-----------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
